Data retrieved from old Bach lists
Notice: 
    - exact frequencies are unknown, generic band indicators are used
    - elevations are unknown, a dummy value is used
 
 
        Name    HHMMSS       # MJD    Freq     Elev      Flux    e_Flux  
                                       MHz      deg        Jy        Jy
       0235+164 154019 54147.65300 22000.0   0.0000    1.9450    0.3280
       0235+164 131033 54183.54900 22000.0   0.0000    3.6950    0.4320
       0235+164 132331 54183.55800 22000.0   0.0000    3.6990    0.4290
       0235+164 133755 54183.56800 22000.0   0.0000    3.8030    0.4540
       0235+164 135052 54183.57700 22000.0   0.0000    3.9860    0.4740
       0235+164 084116 54197.36200 22000.0   0.0000    4.0450    0.4140
       0235+164 085414 54197.37100 22000.0   0.0000    4.1270    0.3540
       0235+164 093140 54218.39700 22000.0   0.0000    5.5030    0.4170
       0235+164 093140 54218.39700 22000.0   0.0000    5.5030    0.4170
       0235+164 094438 54218.40600 22000.0   0.0000    5.3310    0.4240
       0235+164 094438 54218.40600 22000.0   0.0000    5.3310    0.4240
       0235+164 095736 54218.41500 22000.0   0.0000    5.4300    0.3790
       0235+164 095736 54218.41500 22000.0   0.0000    5.4300    0.3790
       0235+164 042331 54274.18300 22000.0   0.0000    3.1530    0.5940
       0235+164 044800 54274.20000 22000.0   0.0000    2.8610    0.4570
       0235+164 060545 54288.25400 22000.0   0.0000    2.1240    0.3240
       0235+164 061843 54288.26300 22000.0   0.0000    2.8040    0.2960
       0235+164 080643 54294.33800 22000.0   0.0000    2.4060    0.3260
       0235+164 081940 54294.34700 22000.0   0.0000    2.2260    0.3620
       0235+164 083404 54294.35700 22000.0   0.0000    2.3930    0.3550
       0235+164 042916 54323.18700 22000.0   0.0000    2.2750    1.0190
       0235+164 034019 54345.15300 22000.0   0.0000    1.9640    0.3590
       0235+164 040614 54345.17100 22000.0   0.0000    1.6990    0.3540
       0235+164 041912 54345.18000 22000.0   0.0000    1.7050    0.4300
       0235+164 022233 54372.09900 22000.0   0.0000    1.9010    0.5480
       0235+164 023531 54372.10800 22000.0   0.0000    1.7120    0.6710
       0235+164 005316 54386.03700 22000.0   0.0000    0.8170    0.2790
       0235+164 010614 54386.04600 22000.0   0.0000    1.0910    0.2100
       0235+164 011912 54386.05500 22000.0   0.0000    1.4940    0.1700
       0235+164 195638 54456.83100 22000.0   0.0000    1.4990    0.2900
       0235+164 202233 54456.84900 22000.0   0.0000    1.4540    0.2040
       0235+164 203531 54456.85800 22000.0   0.0000    1.4970    0.2460
       0235+164 204955 54456.86800 22000.0   0.0000    1.1860    0.2500
       0235+164 185024 54460.78500 22000.0   0.0000    0.8560    0.2070
       0235+164 190321 54460.79400 22000.0   0.0000    1.2100    0.2280
       0235+164 151257 54510.63400 22000.0   0.0000    0.9970    0.1040
       0235+164 152555 54510.64300 22000.0   0.0000    1.0230    0.1150
       0235+164 153852 54510.65200 22000.0   0.0000    0.9200    0.1110
       0235+164 131619 54561.55300 22000.0   0.0000    1.2920    0.1420
       0235+164 133043 54561.56300 22000.0   0.0000    1.9530    0.1430
       0235+164 134340 54561.57200 22000.0   0.0000    1.5770    0.1420
       0235+164 132624 54575.56000 22000.0   0.0000    1.1220    0.5060
       0235+164 133921 54575.56900 22000.0   0.0000    2.6200    0.6850
       0235+164 114243 54604.48800 22000.0   0.0000    2.8180    0.3520
       0235+164 102038 54639.43100 22000.0   0.0000    3.3960    0.3620
       0235+164 103502 54639.44100 22000.0   0.0000    3.2720    0.3550
       0235+164 093140 54651.39700 22000.0   0.0000    2.1120    0.3930
       0235+164 075931 54666.33300 22000.0   0.0000    3.1460    0.3180
       0235+164 065736 54687.29000 22000.0   0.0000    2.7810    0.3720
       0235+164 034731 54722.15800 22000.0   0.0000    4.1060    0.8380
       0235+164 040028 54722.16700 22000.0   0.0000    4.8350    0.9830
       0235+164 010614 54779.04600 22000.0   0.0000    7.1190    0.7660
       0235+164 011912 54779.05500 22000.0   0.0000    6.7430    0.7330
       0235+164 220740 54815.92200 22000.0   0.0000    4.4730    0.6300
       0235+164 222038 54815.93100 22000.0   0.0000    3.6480    0.6810
       0235+164 152009 54911.63900 22000.0   0.0000    3.3250    0.4760
       0235+164 153307 54911.64800 22000.0   0.0000    2.5190    0.4340
       0235+164 064857 55032.28400 22000.0   0.0000    1.6150    0.4640
       0235+164 014507 55062.07300 22000.0   0.0000    1.1800    0.2170
       0235+164 015804 55062.08200 22000.0   0.0000    1.3920    0.2170
       0235+164 004438 55099.03100 22000.0   0.0000    1.1830    0.1610
       0235+164 005316 55121.03700 22000.0   0.0000    1.6620    0.2790
       0235+164 201102 55208.84100 22000.0   0.0000    0.5910    0.3220
       0235+164 075052 53854.32700 43000.0   0.0000    1.5040    0.7030
       0235+164 045052 53879.20200 43000.0   0.0000    1.7590    0.7050
       0235+164 065150 53879.28600 43000.0   0.0000    1.7030    0.4990
       0235+164 025121 53911.11900 43000.0   0.0000    1.8380    0.7700
       0235+164 045052 53913.20200 43000.0   0.0000    1.8080    0.6090
       0235+164 035150 53928.16100 43000.0   0.0000    1.2670    0.4610
       0235+164 035024 53931.16000 43000.0   0.0000    1.3540    0.6480
       0235+164 235121 53950.99400 43000.0   0.0000    0.7380    0.4930
       0235+164 015052 53951.07700 43000.0   0.0000    1.1730    0.4150
       0235+164 015052 53952.07700 43000.0   0.0000    0.9270    0.3820
       0235+164 235121 53952.99400 43000.0   0.0000    0.9590    0.4510
       0235+164 015052 53953.07700 43000.0   0.0000    1.0820    0.4140
       0235+164 230643 53970.96300 43000.0   0.0000    0.7720    0.6040
       0235+164 005150 53971.03600 43000.0   0.0000    0.6800    0.3920
       0235+164 005150 53972.03600 43000.0   0.0000    0.9480    0.4530
       0235+164 230643 53972.96300 43000.0   0.0000    0.8700    0.5060
       0235+164 005150 53973.03600 43000.0   0.0000    0.6510    0.3870
       0235+164 225052 53997.95200 43000.0   0.0000    0.4320    0.3330
       0235+164 205121 53998.86900 43000.0   0.0000    0.7870    0.4170
       0235+164 205121 53999.86900 43000.0   0.0000    0.4570    0.4260
       0235+164 225052 53999.95200 43000.0   0.0000    0.6010    0.3090
       0235+164 205121 54000.86900 43000.0   0.0000    0.7410    0.4050
       0235+164 203657 54025.85900 43000.0   0.0000    0.5590    0.4060
       0235+164 203657 54026.85900 43000.0   0.0000    0.3950    0.3610
       0235+164 025121 54277.11900 43000.0   0.0000    2.6840    0.3800
       0235+164 045052 54277.20200 43000.0   0.0000    2.8200    0.4570
       0235+164 235248 54320.99500 43000.0   0.0000    1.5340    0.3320
       0235+164 015219 54321.07800 43000.0   0.0000    1.5090    0.2540
       0235+164 235121 54321.99400 43000.0   0.0000    1.4910    0.2890
       0235+164 015052 54322.07700 43000.0   0.0000    1.4440    0.2070
       0235+164 225052 54364.95200 43000.0   0.0000    1.3480    0.1680
       0235+164 205833 54366.87400 43000.0   0.0000    1.1260    0.1490
       0235+164 225219 54366.95300 43000.0   0.0000    1.1100    0.1690
       0235+164 195052 54390.82700 43000.0   0.0000    1.6650    0.1990
       0235+164 205248 54390.87000 43000.0   0.0000    1.3670    0.1960
       0235+164 212136 54390.89000 43000.0   0.0000    1.5200    0.1790
       0235+164 183014 54421.77100 43000.0   0.0000    1.3950    0.1870
       0235+164 180252 54422.75200 43000.0   0.0000    1.6740    0.2580
       0235+164 183559 54422.77500 43000.0   0.0000    1.2430    0.1830
       0235+164 170643 54423.71300 43000.0   0.0000    1.1990    0.2020
       0235+164 180252 54423.75200 43000.0   0.0000    1.5660    0.2630
       0235+164 183726 54423.77600 43000.0   0.0000    1.3140    0.1930
       0235+164 170643 54424.71300 43000.0   0.0000    1.5450    0.2270
       0235+164 180252 54424.75200 43000.0   0.0000    1.3450    0.2260
       0235+164 183559 54424.77500 43000.0   0.0000    1.3370    0.1830
       0235+164 173657 54435.73400 43000.0   0.0000    1.6020    0.3570
       0235+164 180252 54436.75200 43000.0   0.0000    1.4420    0.3020
       0235+164 183559 54436.77500 43000.0   0.0000    1.4210    0.2360
       0235+164 180252 54437.75200 43000.0   0.0000    1.2980    0.2990
       0235+164 183559 54437.77500 43000.0   0.0000    1.3570    0.2350
       0235+164 173238 54450.73100 43000.0   0.0000    1.7210    0.2840
       0235+164 153559 54479.65000 43000.0   0.0000    1.0510    0.1790
       0235+164 140643 54480.58800 43000.0   0.0000    1.3590    0.2190
       0235+164 150252 54480.62700 43000.0   0.0000    1.1690    0.2040
       0235+164 153559 54480.65000 43000.0   0.0000    1.1410    0.1970
       0235+164 124019 54506.52800 43000.0   0.0000    1.0320    0.1670
       0235+164 110809 54521.46400 43000.0   0.0000    1.3280    0.1740
       0235+164 120252 54521.50200 43000.0   0.0000    1.3740    0.1810
       0235+164 110643 54522.46300 43000.0   0.0000    1.2130    0.1460
       0235+164 120252 54522.50200 43000.0   0.0000    1.2480    0.1620
       0235+164 110516 54523.46200 43000.0   0.0000    1.3280    0.1530
       0235+164 080643 54556.33800 43000.0   0.0000    1.8030    0.1970
       0235+164 090252 54556.37700 43000.0   0.0000    1.9940    0.2520
       0235+164 093559 54556.40000 43000.0   0.0000    1.6650    0.1890
       0235+164 080643 54557.33800 43000.0   0.0000    1.5660    0.2060
       0235+164 093433 54557.39900 43000.0   0.0000    2.1660    0.2700
       0235+164 073628 54580.31700 43000.0   0.0000    2.0430    0.2260
       0235+164 060419 54597.25300 43000.0   0.0000    2.5310    0.3790
       0235+164 063726 54597.27600 43000.0   0.0000    2.4230    0.3360
       0235+164 050223 54611.21000 43000.0   0.0000    3.4460    0.3830
       0235+164 053657 54611.23400 43000.0   0.0000    3.3600    0.3410
       0235+164 050350 54612.21100 43000.0   0.0000    3.4680    0.3430
       0235+164 053657 54612.23400 43000.0   0.0000    2.9800    0.3140
       0235+164 050350 54613.21100 43000.0   0.0000    3.2830    0.3390
       0235+164 053657 54613.23400 43000.0   0.0000    3.0580    0.3060
       0235+164 020643 54642.08800 43000.0   0.0000    4.2960    0.4630
       0235+164 030252 54642.12700 43000.0   0.0000    3.7860    0.5840
       0235+164 033307 54642.14800 43000.0   0.0000    4.2670    0.7830
       0235+164 020643 54643.08800 43000.0   0.0000    4.5040    0.4780
       0235+164 030252 54643.12700 43000.0   0.0000    4.4040    0.5220
       0235+164 033559 54643.15000 43000.0   0.0000    4.3200    0.5110
       0235+164 020643 54644.08800 43000.0   0.0000    4.2560    0.4530
       0235+164 030252 54644.12700 43000.0   0.0000    4.6510    0.5350
       0235+164 033726 54644.15100 43000.0   0.0000    4.2750    0.5270
       0235+164 020223 54659.08500 43000.0   0.0000    4.5290    0.6680
       0235+164 023657 54659.10900 43000.0   0.0000    4.0720    0.6470
       0235+164 020350 54660.08600 43000.0   0.0000    4.4680    0.6720
       0235+164 023657 54660.10900 43000.0   0.0000    4.2330    0.6600
       0235+164 010321 54680.04400 43000.0   0.0000    4.0140    0.4140
       0235+164 013628 54680.06700 43000.0   0.0000    3.6790    0.3860
       0235+164 010321 54681.04400 43000.0   0.0000    3.6710    0.4050
       0235+164 013628 54681.06700 43000.0   0.0000    3.7140    0.3920
       0235+164 010321 54682.04400 43000.0   0.0000    4.2150    0.4690
       0235+164 013628 54682.06700 43000.0   0.0000    3.8160    0.4020
       0235+164 220740 54707.92200 43000.0   0.0000    6.0030    0.6290
       0235+164 230350 54707.96100 43000.0   0.0000    5.4340    0.6180
       0235+164 233657 54707.98400 43000.0   0.0000    4.9500    0.5400
       0235+164 220614 54708.92100 43000.0   0.0000    5.5530    0.6070
       0235+164 230350 54708.96100 43000.0   0.0000    5.0690    0.5630
       0235+164 233657 54708.98400 43000.0   0.0000    4.9360    0.5280
       0235+164 220614 54709.92100 43000.0   0.0000    4.8110    0.5500
       0235+164 230350 54709.96100 43000.0   0.0000    5.4170    0.6320
       0235+164 233657 54709.98400 43000.0   0.0000    4.7550    0.5380
       0235+164 195219 54743.82800 43000.0   0.0000    5.6860    0.8140
       0235+164 204828 54743.86700 43000.0   0.0000    5.6690    0.9070
       0235+164 212302 54743.89100 43000.0   0.0000    5.1720    0.8720
       0235+164 195052 54744.82700 43000.0   0.0000    6.0630    0.8180
       0235+164 204828 54744.86700 43000.0   0.0000    5.3790    0.8350
       0235+164 212136 54744.89000 43000.0   0.0000    5.5310    0.8350
       0235+164 195052 54745.82700 43000.0   0.0000    6.2930    0.8530
       0235+164 204828 54745.86700 43000.0   0.0000    5.0780    0.8430
       0235+164 212136 54745.89000 43000.0   0.0000    5.0690    0.7650
       0235+164 170643 54779.71300 43000.0   0.0000    6.5850    0.8870
       0235+164 180252 54779.75200 43000.0   0.0000    6.5240    0.9050
       0235+164 183559 54779.77500 43000.0   0.0000    5.6670    0.7940
       0235+164 170643 54780.71300 43000.0   0.0000    6.4770    0.8770
       0235+164 180252 54780.75200 43000.0   0.0000    6.1710    0.8480
       0235+164 183559 54780.77500 43000.0   0.0000    5.7470    0.7990
       0235+164 170643 54781.71300 43000.0   0.0000    5.7220    0.8000
       0235+164 180252 54781.75200 43000.0   0.0000    6.3920    0.8790
       0235+164 183559 54781.77500 43000.0   0.0000    5.9980    0.8710
       0235+164 170643 54807.71300 43000.0   0.0000    5.2250    0.6690
       0235+164 180419 54807.75300 43000.0   0.0000    4.4420    0.6600
       0235+164 183559 54807.77500 43000.0   0.0000    4.7230    0.6280
       0235+164 170643 54808.71300 43000.0   0.0000    4.6930    0.6250
       0235+164 180252 54808.75200 43000.0   0.0000    4.4360    0.6160
       0235+164 183559 54808.77500 43000.0   0.0000    4.5990    0.6470
       0235+164 170643 54809.71300 43000.0   0.0000    4.9960    0.7040
       0235+164 180252 54809.75200 43000.0   0.0000    4.3010    0.6060
       0235+164 183559 54809.77500 43000.0   0.0000    4.4440    0.6140
       0235+164 150419 54840.62800 43000.0   0.0000    4.0210    0.7910
       0235+164 153559 54840.65000 43000.0   0.0000    4.0500    0.7660
       0235+164 150252 54841.62700 43000.0   0.0000    3.5240    0.6320
       0235+164 153726 54841.65100 43000.0   0.0000    3.6650    0.6650
       0235+164 140516 54842.58700 43000.0   0.0000    3.7910    0.8210
       0235+164 153559 54842.65000 43000.0   0.0000    3.9360    0.7290
       0235+164 133921 54878.56900 43000.0   0.0000    1.9240    0.3410
       0235+164 120838 54879.50600 43000.0   0.0000    1.7270    0.3930
       0235+164 130321 54879.54400 43000.0   0.0000    1.9210    0.4690
       0235+164 133755 54879.56800 43000.0   0.0000    1.8190    0.3160
       0235+164 090252 54930.37700 43000.0   0.0000    1.8420    0.2570
       0235+164 093559 54930.40000 43000.0   0.0000    1.8060    0.2350
       0235+164 060252 54959.25200 43000.0   0.0000    1.1770    0.2090
       0235+164 063559 54959.27500 43000.0   0.0000    1.4840    0.2010
       0235+164 060252 54961.25200 43000.0   0.0000    1.3470    0.1920
       0235+164 063726 54961.27600 43000.0   0.0000    1.3790    0.1790
       0235+164 030252 55009.12700 43000.0   0.0000    1.5140    0.2410
       0235+164 033559 55009.15000 43000.0   0.0000    1.6050    0.2050
       0235+164 020643 55010.08800 43000.0   0.0000    1.7210    0.2080
       0235+164 030252 55010.12700 43000.0   0.0000    1.5810    0.2300
       0235+164 033559 55010.15000 43000.0   0.0000    1.5600    0.2130
       0235+164 030252 55011.12700 43000.0   0.0000    1.4390    0.1830
       0235+164 033559 55011.15000 43000.0   0.0000    1.5020    0.2210
       0235+164 172652 55156.72700 43000.0   0.0000    1.2940    0.1750
       0235+164 173404 55157.73200 43000.0   0.0000    1.2800    0.1650
       0235+164 174243 55158.73800 43000.0   0.0000    1.3710    0.2480
       0235+164 191159 55158.80000 43000.0   0.0000    1.2650    0.2770
       0235+164 172233 55161.72400 43000.0   0.0000    1.1760    0.2300
       0235+164 184731 55161.78300 43000.0   0.0000    1.4460    0.3210
       0235+164 172526 55164.72600 43000.0   0.0000    1.5090    0.2920
       0235+164 184857 55164.78400 43000.0   0.0000    1.9400    0.3280
       0235+164 172400 55165.72500 43000.0   0.0000    1.5540    0.2760
       0235+164 184857 55165.78400 43000.0   0.0000    1.7430    0.2970
       0235+164 170643 55168.71300 43000.0   0.0000    1.0660    0.1800
       0235+164 180252 55168.75200 43000.0   0.0000    1.1750    0.2130
       0235+164 183726 55168.77600 43000.0   0.0000    1.3810    0.2210
       0235+164 161452 55174.67700 43000.0   0.0000    1.2940    0.1840
       0235+164 174116 55174.73700 43000.0   0.0000    1.1250    0.2050
       0235+164 162331 55175.68300 43000.0   0.0000    1.0710    0.2240
       0235+164 174828 55175.74200 43000.0   0.0000    1.0810    0.1890
       0235+164 161033 55176.67400 43000.0   0.0000    1.4850    0.2110
       0235+164 173657 55176.73400 43000.0   0.0000    1.3890    0.1990
       0235+164 162038 55177.68100 43000.0   0.0000    1.6010    0.2090
       0235+164 174702 55177.74100 43000.0   0.0000    1.6880    0.2890
       0235+164 161912 55181.68000 43000.0   0.0000    1.6210    0.2370
